Sample,Age.Days,DPE,Treatment,Temperature,Tank.ID,Sex,Pathology.Results,Total.Worm.Count,Repeat.Extract,No.PCR.Product,Treatment.,Temperature.,DPE.,Temp.DPE.,Temp.Treat.,Treat.Temp.DPE.,Path.Res.,Temp.Path.,Shannon__Genus,Simpson__Genus,Richness__Genus,Phylogenetic__Genus,Shannon__Genus_norm,Simpson__Genus_norm,Richness__Genus_norm,Phylogenetic__Genus_norm
132,185,21,0,28,9,0,0,0,0,0,1,1,3,3,1,3,1,1,12.86545423,6.151515438,72,19.22617,0.402871548,0.436898235,0.487777044,0.519533133
133,185,21,0,28,9,0,0,0,0,0,1,1,3,3,1,3,1,1,5.931119573,2.888667157,60,16.32506,0.227173988,0.23668716,0.421145093,0.456236002
134,185,21,0,28,9,0,0,0,0,0,1,1,3,3,1,3,1,1,33.70588204,21.27252182,106,27.25851,0.726836785,0.828734063,0.656960697,0.672249733
135,185,21,0,28,9,1,0,0,0,0,1,1,3,3,1,3,1,1,6.860032669,3.595173149,56,14.50465,0.255692978,0.291941019,0.397845959,0.413450739
136,185,21,0,28,7,1,0,0,0,0,1,1,3,3,1,3,1,1,18.60273772,9.822810392,68,17.74306,0.510663856,0.574806493,0.466065055,0.487853357
137,185,21,0,28,7,1,0,0,0,0,1,1,3,3,1,3,1,1,8.155034914,4.552202441,53,14.88317,0.292107458,0.353964486,0.379959609,0.422569633
138,185,21,0,28,7,1,0,0,0,0,1,1,3,3,1,3,1,1,15.59897391,7.549633181,68,17.76566,0.456954479,0.495859533,0.466065055,0.48834632
139,185,21,0,28,7,0,0,0,0,0,1,1,3,3,1,3,1,1,8.796681063,4.174810815,63,16.80493,0.308971039,0.33092408,0.438238797,0.467091536
140,185,21,0,28,7,0,0,0,0,0,1,1,3,3,1,3,1,1,12.2934018,5.543477418,69,17.75829,0.39077334,0.407735131,0.471536965,0.488185598
142,185,21,0,35,2,0,0,0,0,0,1,3,3,13,5,13,1,5,6.079211601,2.971159789,41,11.04028,0.231877466,0.243679779,0.304227987,0.323398548
143,185,21,0,35,2,0,0,0,0,0,1,3,3,13,5,13,1,5,10.00796212,4.494930232,50,13.32881,0.339051802,0.350571869,0.361689291,0.384297582
144,185,21,0,35,2,0,0,0,0,0,1,3,3,13,5,13,1,5,10.49414066,5.860033448,55,14.3899,0.350559135,0.423229926,0.3919247,0.410661685
145,185,21,0,35,2,0,0,0,0,0,1,3,3,13,5,13,1,5,14.0373237,7.491116697,56,14.76894,0.42676293,0.493580553,0.397845959,0.419830687
146,185,21,0,32,5,0,0,0,0,0,1,2,3,8,3,8,1,3,16.14533568,9.268407415,63,17.78655,0.467122013,0.55706714,0.438238797,0.48880169
147,185,21,0,32,5,0,0,0,0,0,1,2,3,8,3,8,1,3,7.254184897,3.37138441,60,17.16561,0.267149009,0.275490911,0.421145093,0.475144049
148,185,21,0,32,5,1,0,0,0,0,1,2,3,8,3,8,1,3,12.80199055,5.746821738,66,18.26266,0.401544158,0.417769579,0.455029831,0.499105048
149,185,21,0,32,5,0,0,0,0,0,1,2,3,8,3,8,1,3,11.11896207,4.914608967,63,17.44562,0.364925482,0.374651404,0.438238797,0.481334468
150,185,21,0,32,5,0,0,0,0,0,1,2,3,8,3,8,1,3,16.83041134,8.56821075,71,19.10628,0.479607095,0.533366323,0.482392388,0.517021
151,185,21,1,35,11,1,0,0,0,0,2,3,3,13,6,28,1,5,7.995758411,3.665382669,23,6.11595,0.28780928,0.296927729,0.172280325,0.16423717
152,185,21,1,35,11,1,0,0,0,0,2,3,3,13,6,28,1,5,15.03519787,6.729242009,92,23.12428,0.446255375,0.46248104,0.59020741,0.597136008
153,185,21,1,35,11,0,0,0,0,0,2,3,3,13,6,28,1,5,12.1975669,6.235774629,77,19.85939,0.38871648,0.440749691,0.514290988,0.532667009
155,185,21,1,35,11,1,0,0,0,0,2,3,3,13,6,28,1,5,10.61647869,5.008270318,84,20.591,0.353408324,0.379792457,0.550350187,0.547570767
156,185,21,1,32,1,1,0,0,0,0,2,2,3,8,4,23,1,3,39.12661845,21.55550746,124,33.56223,0.790774226,0.833382442,0.738105517,0.776056692
158,185,21,1,32,1,0,0,0,0,0,2,2,3,8,4,23,1,3,11.20736023,4.921322443,95,25.80698,0.366921792,0.375022583,0.604815634,0.646606391
160,185,21,1,32,1,1,0,0,0,0,2,2,3,8,4,23,1,3,9.942496889,4.574599792,90,21.91079,0.337479013,0.355281658,0.580369228,0.573769397
161,185,21,1,28,6,0,1,8,0,0,2,1,3,3,2,18,2,2,1.615836042,1.163918332,54,16.29322,0.040469687,0.028496761,0.385962929,0.455509833
163,185,21,1,28,6,1,0,0,0,0,2,1,3,3,2,18,1,1,1.080229229,1.021312812,10,3.52303,0.001560648,0.001192905,0.049238948,0.050966459
164,185,21,1,28,6,1,1,5,0,0,2,1,3,3,2,18,2,2,1.592705316,1.193564594,21,7.59997,0.038951391,0.033823055,0.155522426,0.217657888
166,185,21,1,28,10,1,0,0,0,0,2,1,3,3,2,18,1,1,2.197730602,1.710214337,32,9.98019,0.075319058,0.112610223,0.241786393,0.292938216
171,185,21,1,35,3,0,0,0,0,0,2,3,3,13,6,28,1,5,15.01658834,7.512243483,85,22.30226,0.44589848,0.494405044,0.555407862,0.581380027
172,185,21,1,35,3,0,0,0,0,0,2,3,3,13,6,28,1,5,8.702166092,4.113763425,72,18.58945,0.30653053,0.327036895,0.487777044,0.506095612
173,185,21,1,35,3,0,0,0,0,0,2,3,3,13,6,28,1,5,13.48091013,6.438425629,83,21.07323,0.41556172,0.449839928,0.545269882,0.557242802
174,185,21,1,35,3,0,0,0,0,0,2,3,3,13,6,28,1,5,9.91732677,6.150306474,64,18.07174,0.33687279,0.436842658,0.443868469,0.494990542
176,185,21,1,32,8,1,1,11,0,0,2,2,3,8,4,23,2,4,1.606945969,1.27133983,34,10.96161,0.039887568,0.04729477,0.256179099,0.321192322
177,185,21,1,32,8,1,0,0,0,0,2,2,3,8,4,23,1,3,2.251435625,1.581061497,30,8.43512,0.078264184,0.094984197,0.227052107,0.245320361
178,185,21,1,32,8,0,1,2,0,0,2,2,3,8,4,23,2,4,26.04606832,15.38453996,114,29.05018,0.625939769,0.718049589,0.6936161,0.702932622
179,185,21,1,32,8,0,0,0,0,0,2,2,3,8,4,23,1,3,27.45017681,15.68472525,122,29.85684,0.645550721,0.724475498,0.729318551,0.716422106
181,192,28,0,35,4,1,0,0,0,0,1,3,4,14,5,14,1,5,13.03943359,7.813078044,54,14.89796,0.406492092,0.505942628,0.385962929,0.422923452
182,192,28,0,35,4,1,0,0,0,0,1,3,4,14,5,14,1,5,12.3756013,6.786187901,60,15.57874,0.392530534,0.464903395,0.421145093,0.439014494
183,192,28,0,35,4,1,0,0,0,0,1,3,4,14,5,14,1,5,14.3070587,8.437177641,61,15.74279,0.43210512,0.528754616,0.426877872,0.442836505
184,192,28,0,35,4,0,0,0,0,0,1,3,4,14,5,14,1,5,14.51189734,8.997619014,63,16.32614,0.436125112,0.548082396,0.438238797,0.45626062
185,192,28,0,35,4,1,0,0,0,0,1,3,4,14,5,14,1,5,13.38766873,8.418023146,58,14.91596,0.413659949,0.528075532,0.409570863,0.423353814
186,192,28,0,32,12,1,0,0,0,0,1,2,4,9,3,9,1,3,14.85486052,8.521091802,66,17.66909,0.442786557,0.531714715,0.455029831,0.486237576
187,192,28,0,32,12,1,0,0,0,0,1,2,4,9,3,9,1,3,16.05594142,9.438413434,62,16.04015,0.465471522,0.562597856,0.432575514,0.44971142
188,192,28,0,32,12,1,0,0,0,0,1,2,4,9,3,9,1,3,15.91001724,9.47491646,65,17.25156,0.46276642,0.563774659,0.449465249,0.477049821
189,192,28,0,32,12,1,0,0,0,0,1,2,4,9,3,9,1,3,11.10129723,5.608951734,62,16.69349,0.364525509,0.410998777,0.432575514,0.464585221
190,192,28,0,32,12,0,0,0,0,0,1,2,4,9,3,9,1,3,11.52286565,6.153385927,70,18.27262,0.373977165,0.436984205,0.476979215,0.499319074
191,192,28,0,28,9,1,0,0,0,0,1,1,4,4,1,4,1,1,17.94648713,9.594101397,77,21.03126,0.499362257,0.567591137,0.514290988,0.556405662
192,192,28,0,28,9,1,0,0,0,0,1,1,4,4,1,4,1,1,18.10935106,7.754082379,75,19.70825,0.502187936,0.503709277,0.503765257,0.529552365
193,192,28,0,28,9,0,0,0,0,0,1,1,4,4,1,4,1,1,14.54882622,6.888954346,75,19.183,0.43684652,0.469232735,0.503765257,0.518629514
194,192,28,0,28,9,1,0,0,0,0,1,1,4,4,1,4,1,1,16.35012234,8.842004508,68,17.97073,0.470884153,0.542817701,0.466065055,0.492804448
195,192,28,0,28,9,1,0,0,0,0,1,1,4,4,1,4,1,1,16.62705289,8.633041016,68,18.28951,0.475930663,0.535626541,0.466065055,0.499681876
196,192,28,0,28,7,0,0,0,0,0,1,1,4,4,1,4,1,1,13.02130899,6.543598049,69,18.25006,0.40611616,0.454464905,0.471536965,0.498834204
197,192,28,0,28,7,1,0,0,0,0,1,1,4,4,1,4,1,1,19.5575101,10.29513491,74,19.30827,0.526721641,0.589279279,0.498462961,0.521248687
198,192,28,0,28,7,1,0,0,0,0,1,1,4,4,1,4,1,1,19.54925396,11.37842129,76,19.35268,0.526584656,0.620509962,0.509041107,0.522175078
199,192,28,0,28,7,1,0,0,0,0,1,1,4,4,1,4,1,1,20.56894317,12.83308979,69,18.04019,0.543268773,0.658796669,0.471536965,0.494308416
200,192,28,0,28,7,0,0,0,0,0,1,1,4,4,1,4,1,1,10.29418948,4.893894916,64,16.58024,0.345862766,0.373503512,0.443868469,0.462029184
201,192,28,0,35,2,0,0,0,0,0,1,3,4,14,5,14,1,5,14.32137822,8.266679742,62,15.77591,0.432387168,0.522664654,0.432575514,0.443605589
202,192,28,0,35,2,1,0,0,0,0,1,3,4,14,5,14,1,5,15.73706382,9.500377337,72,18.33492,0.459542526,0.564593267,0.487777044,0.500656425
203,192,28,0,35,2,0,0,0,0,0,1,3,4,14,5,14,1,5,11.18673058,5.351639878,70,17.68744,0.366456686,0.397986153,0.476979215,0.486638739
