Sample,DPE,Treatment,Temperature,Sex,Pathology.Results,Total.Worm.Count
276,42,1,32,0,0,0
277,42,1,32,1,0,0
278,42,1,32,1,1,9
279,42,1,32,1,1,7
280,42,1,32,0,1,2
281,42,1,28,1,0,0
282,42,1,28,1,1,14
283,42,1,28,1,1,12
284,42,1,28,1,0,0
285,42,1,28,0,1,12
287,42,1,28,0,1,4
289,42,1,28,1,1,7
290,42,1,28,1,1,6
292,42,1,35,1,0,0
293,42,1,35,0,0,0
294,42,1,35,1,0,0
295,42,1,35,0,0,0
299,42,1,32,0,1,1
300,42,1,32,1,1,14
301,42,0,32,1,0,0
